classlabel,content
0,﻿राजविराज २५ वैशाख वैदेशिक रोजगारी साउदी अरब पुगे सप्तरी कुशहा–८ युवा सुरज राम अलपत्र परे म्यानपावर एजेन्ट लापर्वाही कारण राम साउदी अरब अलपत्र परे काठमाण्डौ स्थित अल अयुनी ओभरसिज सर्भिसेज प्रा.लि.बाट उनी ८ फरवरी साउदी पुगे क्लिनर काम पाउने शर्त ८० हजार रुपैयाँ तिरेर उनी साउदी पुगे चर्को घाम टेलिफोन सम्वन्धि ह्युम पाइप जडान क्रम बेल्चा चलाउन दिईयो दिन २२ वर्षिय सुरज काम क्रम मै छाती दर्द शुरु भयो उनी विरामी परे चर्को घाम उक्त काम असमर्थ तत् पश्चात कम्पनी निकालेर घर सुत्न नदिए उन टेलिफोन पीडा सुनाए कम्पनी जुनसु कै हालत काम गर्नै पर्ने भनी दवाब उक्त काम असमर्थता जनाए धम्की दिने गरे सुरज बताए २० हजार रियाल तिरेर घर जानु भनी दवाव दिँदैए बताउँदै उन ‘२० हजार रियाल अनि घर जाउ भन्छ समस्या परे भनी एजेन्ट हरु प्रथमलाल मण्डल मनोज मण्डल म्यानपावर सञ्जय चौधरी वास्ता नगरे उन दुःखेसो सुनाए ‘कुरा गर्दैछु’ ‘चाँडै काम चेन्ज हुन्छ’ आज–भोली भन्दाभन्दै हाल पहल नभए उन गुनासो ‘साउदी जानु अघि एजेन्ट क्लिनर काम पठाए चर्को घाम बेल्चा चलाउनु पर्ने काम खटायो’ सुरज ‘म समस्या परे म्यानपावर कम्पनी प्रतिवद्धता गरे काम खटाईदिनु पर्यो घर फिर्ता गरिदिनु पर्यो ’ ऋण काढेर वैदेशिक रोजगारी बताउँदै उन ठगी परेको पैसा कमाउने सपना चकनाचुर उन बताए यता उक्त विषय एजेन्ट प्रथमलाल मण्डल सँग बुझ्दा आफूहरु मार्फत सुरज साउदी अर् कै काम खटाईदिए बताए म्यानपावर मार्फत पहल जानकारी दिँदै उन ‘कम्पनीले खटाए काम सुरज मान्दैन काम काम चेन्ज हुदैन ’ यद्यपी उन साउदी मै काम परिवर्तन वा ल्याउने विषय हरु गम्भीर रहे प्रतिक्रिया
3,सफ्टवेयर अर्बपतिफेसबुक जस्ता सामाजिक सञ्जाल निर्माण धनी भएका नाम सुनिरहे कै त्यस्तै सफ्टवेयर व्यवसाय बाटै अर्बपति नाम थपिने क्रम बढ्दै फेसबुक जस्ता सामाजिक सञ्जाल निर्माण धनी भएका नाम सुनिरहे कै त्यस्तै सफ्टवेयर व्यवसाय बाटै अर्बपति नाम थपिने क्रम बढ्दै सफ्टवेयर कम्पनी एटलाजियन बजार मूल्य बढे सञ्चालकद्वय स्कट फाक्र्युर माइक क्यानन ब्रुक अर्बपति सूची नाम थपिए दुवै अस्ट्रेलिया सफ्टवेयर व्यवसायी वर्ष अघि जना मिलेर कम्पनी खडा गरे हाल कम्पनी सेयर बिक्री नगरेका अहिले उनी हरूलाई बढी फाइदा गत साता कम्पनी मूल्य बढेर अर्ब करोड डलर पुगे वर्षीय सञ्चालक हिस्सा अर्ब करोड डलर परे वाल स्टि्रट जर्नल सन् कम्पनी भ्यालुएसन करोड अमेरि की डलर अस्ट्रेलियन सफ्टवेयर कम्पनी सम्पत्ति मूल्यांकन बढै जानु बजार फराकिलोपना प्रतिविम्बित एटलाजियन अनलाइन बिजनेस सफ्टवेयर टुल्स विकास कम्पनी आयोजना काम तरिका समन्वय सघाउँछ कम्पनी विश्व हजार बढी कम्पनी सेवा दिइ कम्पनी हरूमा नाम सुनेका अमेरिकन एयरलाइन्स बीएमडब्लू फेसबुक सिटी ग्रुप यिन बाट कम्पनी नगद हात पार्छ दुवै सञ्चालक सिड्नी युनिर्भसिटी अफ न्यु साउथ वेल्स सन् ताका अध्ययन गरे त्यही अर्का भेटे प्रोग्रामर अध्ययन गर्थे सन् उनी हरूले कम्पनी सुरु योजना बनाएर त्यसै स्विडेन कम्पनी सहयोग काम सुरु गरे उनी हरूले लागत कम सेल्स स्टाफ मार्केटिङ खर्च नगरी वेबसाइट मार्फत अनलाइन बजारीकरण गरे सामान मूल्य बिक्री गरिन्छ इन्टरने बजार पाउन सक्छौं लागेर त्यसो गरे हौं फोब्र्स सँग फाक्र्युर सुरु साथीसाथी माध्यम बाट उत्पादन हरू बिक्री गरिए उनी हरूले कम्पनी कार्यालय सिड्नी सनपान्सिस्को त्यस्तै आमस्ट्रडम योकोहा मनिला शाखा विस्तार गरे अस्टिन टेक्सास विस्तार आगामी उनी हरूले जनशक्ति बढाएर सय पुर्याउने योजना बनाए अहिले एटलाजियन सय बढी रोजगारी पाए काम स्थान समाजसेवा खर्च लगायत करिब डेढ दर्जन अवार्ड पाए फाक्र्युर अन्तर्वार्ता हाम्रो कम्पनी काम कर्मचारी वातावरण दिन्छु उनी हरू छोडेर सक्दैनन् गइहा पछुतो
4,कहिले आउला मेलम्चीपूर्वप्रधानमन्त्री कृष्णप्रसाद भट्टराई मध्यावधि निर्वाचनता नारा अघि सारे मेलम्ची पानी राजधानी सडक धोइदिनेछु पूर्वप्रधानमन्त्री कृष्णप्रसाद भट्टराई मध्यावधि निर्वाचनता नारा अघि सारे मेलम्ची पानी राजधानी सडक धोइदिनेछु चुनाव भट्टराई उक्त नारा मतदाता नपत्याए सरकार मेलम्ची योजना अघि सारेरै छाड्यो मेलम्ची सुरु वर्ष बिति सकेको मेचम्ची आशा जगाउने भट्टराई बिते वर्ष नाघि सकेको राजधानीवासी धैर्य आशा बसे डेढ दशक मेलम्ची योजना योजना कहाँ पुग्यो खै कहाँ पुग्यो भनूँ आयोजना कार्यकारी निर्देशक कृष्णप्रसाद आचार्य अहिले प्रतिशत काम सकि सकेको दुईचार वर्ष पूरा होला दैनिक करोड लिटर चाहिने राजधानी माग मेलम्ची पूरा अनुमान त्यतिखेर यतिबेला करोड लिटर खपत थाले त्यसै आयोजना याङरी लार्के खोला थपेर दैनिक करोड लिटर आपूर्ति लक्ष्य लिए मेलम्ची आइपुग्ने दरिलो आधार बन्न सके सिन्धुपाल्चोक हेलम्बु बाट काठमाडौं सुन्दरीजल दशमलव किमि सुरुङ बनाइ पानी ल्याउने योजना काम प्रगति हेर्दा सुरुङ बनाउन मात्रै वर्ष लाग्ने सुरुङ निर्माण तीव्रता पाउने संकेत देखिए आयोजना पूर्वकार्यकारी निर्देशक भौतिक योजना निर्माण मन्त्रालय सहसचिव हरिप्रसाद शर्मा ठेकेदार कारण देखिए सरकार वर्ष अघि सुरुङ खन्ने जिम्मा चाइना रेलवे ब्युरो ग्रुप जेभी अहिले जम्मा किलोमिटर प्रतिशत काम सेप्टेम्बर सुरुङ काम सक्ने ठेकेदार काम लिए मासिक सय मिटर सुरुङ खन्नु पर्ने स्थान बाट एकै निर्माण सुरु पर्ने सर्त सहित अर्ब करोड ठेक्का सकारे स्थानीय विवाद ठेकेदार ढिलासुस्ती राजनीतिक हस्तक्षेप जस्ता कारण अधिकांश मै नगरी बित्यो ठेकेदार पूर्वाधार झिनामसिना बढी दिनुपरेका लामो मै नभए कार्यकारी निर्देशक आचार्य ठेकेदार दोष होइन हाम्रो सामाजिक संरचना राजनीतिक माहोल वर्ष अघि घटना हेर्ने स्थानीय त्यसबेला आयोजना कर्मचारी दुव्र्यवहार गाडी अपहरण कार्यालय तोडफोड बाटो बन्द जस्ता थुप्रै भदौयता यस्ता घटना प्रायः छैनन् ठेकेदार इमान्दारी पूर्वक काम गरे थोरै मै सकिन उपकार्यकारी निर्देशक भरतबहादुर केसी सुरुङ निर्माण तीव्रता दिन कै गत साउन तत्कालीन भौतिक योजना सचिव पूर्णप्रसाद कडरिया कार्यकारी निर्देशक शर्मा चीन गएर लिखित अनुरोध गरे त्यस भदौ नेपाल बेजिङ स्थित इन्टरनेसनल इन्जिनियरिङ कम्पनी अध्यक्ष साओ ज्याङजोङ नेतृत्व टोली वर्ष म्याद थपिदिन आग्रह मासिक हजार मिटर सुरुङ निर्माण प्रतिबद्धता जनाए साओ कम्पनी संरचना परिवर्तन कामदार प्राविधिक थप गरिने आश्वासन अहिले उन आश्वासन पूरा सरकार ठेकेदार बाट छिटो काम गराउन चिनियाँ दूतावास समेत गुहार्दै काम अघि बढाए चाइना रेलवे विकल्प खोज्न सक्ने हामी छैनौं आचार्य त्यस चीन सरकारी कम्पनी भएका धोका नहोला चाइना रेलवे ब्युरो ग्रुप नेपाल कन्स्ट्रक्सन कम्पनी सल्लाहकार इन्जिनियर ईश्वरराज वन्त तोकिए सुरुङ निर्माण पूरा नहुने स्वीकार्छन् चिनियाँ हरू काम ठान्छन् वन्त उनी हरू स्थानीय अवरोध सुल्झाउन जान्दैनन् आयोजना स्थानीय समस्या ठेकेदार मिलाउनुपर्छ बुझ्छ गलत आयोजना व्यवस्थापन प्रोएक्टिभ आयोजना ठूलो काम सुन्दरीजल पानी प्रशोधन केन्द्र निर्माण त्यस सन् सेप्टेम्बर आह्वान गरिए ग्लोबल टेन्डर कार्यान्वयन नसक्दा आयोजना टेन्डर रद्द गरे हाल आयोजना पुनः टेन्डर गराउने प्रक्रिया सुरुङ प्रशोधन केन्द्र काम सँग सँगै पूरा हुनुपर्छ आयोजना ढिलाइ हुनु कारण प्रवेश मार्ग इन्जिनियरिङ क्याम्प निर्माण विवाद किमि एडिट सडक इन्जिनियरिङ क्याम्प बनाउने जिम्मेवारी पाए हनिल कोने कोरियन ठेकेदार कम्पनी कारण झन्डै वर्ष ढिलाइ भयो साल करोड ठेक्का सम्झौता गरे कम्पनी साल प्रतिशत काम पूरा गरे त्यस कोनेको सँग ठेक्का तोडियो पुनः प्रक्रिया जाँदा सुरु मै खेर गयो आयोजना कर्मचारी मुआब्जा क्षतिपूर्ति वितरण बढी लाग्यो राजनीतिक हस्तक्षेप स्रोत दुरुपयोग बेलायती अन्तर्राष्ट्रिय संस्था बिन्नी एन्ड पाटनर्स मेलम्ची उपत्यका पानी स्रोत मेलम्ची पहिचान गरे वर्ष बिते मेलम्ची खानेपानी विकास समिति गठन वर्ष कार्यकारी निर्देशक जना फेरिइ सकेका विभागीय मन्त्री काम प्रगति आयोजना अनुकूल प्रयोग गरे अनुभव कर्मचारी राजनीतिक आग्रह कै कारण शाही आयोग समेत मेलम्ची हतियार बनाएर पूर्वप्रधानमन्त्री शेरबहादुर देउवा पूर्वभौतिक योजनामन्त्री गोपालमान श्रेष्ठ भ्रष्टाचार अभियोग लगाए तत्कालीन भौतिक योजनामन्त्री हिसिला यमी कर्मचारी सरुवा नमिले तत्कालीन कार्यकारी निर्देशक सुमन शर्मा हटाएर हरेराम कोइराला नियुक्ति गरे की थिइन् आफ्ना पक्षधर कर्मचारी घुसाउनु उन उद्देश्य रहे कर्मचारी कै आरोप कर्मचारीका यमी काभ्रे मण्डन उपत्यका पाँचखाल धुलिखेल खावासमेत प्रभावित क्षेत्र घोषणा हचुवा निर्णय गरे की थिइन् कतिपय कर्मचारी वातावरणविद् क्षेत्र प्रभावित नसक्ने सकारात्मक प्रभाव पर्ने तर्क सरकार वातावरणविद् तोरण शर्मा नेतृत्व अध्ययन टोली गठन गरे टोली आयोजना बाट मण्डन क्षेत्र नकारात्मक सकारात्मक प्रभाव बढी पार्ने सुझाव यमी मानिनन् उन अडान असहमति जनाउने कर्मचारी सरुवा गरेरै छाडिन् मुआब्जा दिने व्यवस्था मिलाइन् राजनीतिक स्तर बाट आयोजना साधनस्रोत दुरुपयोग रोकिए आयोजना नाम रहे गाडी मध्ये अधिकांश बाहिरिया प्रयोग गरे मन्त्रालय चालक मोटरसाइकल मर्मत बिल भुक्तानी समेत आयोजना लेखा कर्मचारी कति खर्च एसियाली विकास बैंक दाता रहे आयोजना जापान ओपेक एनडिएफ जेबिआइस ऋण सहयोग छन्् आयोजना प्रशासनिक खर्च बर्सेनि सवा करोड आयोजना मुआब्जा क्षतिपूर्ति प्रवेश मार्ग सामाजिक उत्थान कार्यक्रम आव हाल अर्ब खर्च भइ सकेको काम तुलना परामर्शदाता खर्च अत्यधिक समूह रहे परामर्शदाता बर्सेनि करिब करोड भुक्तानी सन् जनवरी सुरुङ डिजाइन सुपरभिजन जिम्मेवारी पाए पोरी इन्टरनेसनल आयोजना वाषिर्क करिब करोड भुक्तनी आयोजना प्रभावित सञ्चालित सामाजिक उत्थान कार्यक्रम गाविस मण्डन उपत्यका करिब करोड खर्च सिन्धुपाल्चोक गाविस बर्सेनि करोड लाख पाउँदै आयोजना राजधानीवासी पानी खुवाउने लक्ष्य राखेका संशोधन आव पुर्याइए अहिले चिनियाँ ठेकेदार निर्माण अवधि थप आयोजना पत्राचार काम प्रगति न्यून हुनु सुरुङ निर्माण अवधि कति बढ्ने एकिन नसकिने अधिकारी हरू बताउँछन्
3,फेसबुक नेपाल नेपालीआफ्ना माग राख्न बन्द हडताल संख्या बढ्दै जाँदा इन्टरनेट प्रयोगकर्ता नौलो प्रयोग थाले संविधान बनाउने अन्तिम नजिकिँदै जाँदा बढे बन्द बाट आजित भएर पहिचान जातीय नभई नेपाली देखाउन सामाजिक सञ्जाल साइट फेसबुक प्रयोग बढे आफ्ना माग राख्न बन्द हडताल संख्या बढ्दै जाँदा इन्टरनेट प्रयोगकर्ता नौलो प्रयोग थाले संविधान बनाउने अन्तिम नजिकिँदै जाँदा बढे बन्द बाट आजित भएर पहिचान जातीय नभई नेपाली देखाउन सामाजिक सञ्जाल साइट फेसबुक प्रयोग बढे मेगा बैंक प्रमुख कार्यकारी अधिकृत अनीलकेशरी शाह नाम अनीलकेशरी नेपाल राखेर अभियान थाले दाबी गरे उनी सँगै बैंक अफ एसिया प्रमुख कार्यकारी अधिकृत पर्शुराम कुँवर क्षेत्री नेपाल शब्द झुन्ड्याए थर मै नेपाली थपे कति थरै हटाए विशेषतः युवा उद्यमी व्यावसायिक व्यक्ति हरू अभियान जोडिन थाले सोच होइन अनील बन्द मात्रै अघि बढ्न सकिँदैन भनेर अभियान सुरु गरें संघीयता विरोध नभई उक्त अभियान नेपाली गर्व सुरु गरिए उन बताए नेपाली फेसबुक प्रयोगकर्ता संख्या लाख जति रहेछ उनी समुदाय सकारात्मक सन्देश दिन गरे हुँ अभियान लागेका फेसबुक प्रयोग कर्ता नभई चुनाव मत हाल्ने जनसंख्या हेर्नु पर्ने उन बताए संविधान बनिसके विभिन्न मुद्दा अघि आउलान् उन जहिल्यै बन्द हुँदैन सिर्जन शील तरिका बाट विरोध सकिन्छ भनेर सन्देश
2,नीलम टप फाइभमाजमैका हालै मिस ग्लोबल इन्टरनेसनल प्रतियोगिता नेपाली सहभागी टप फाइभ परे की दिन अघि मोन्टागो बे कन्भेन्सन सेन्टर सम्पन्न प्रतियोगिता मिस ग्लोबल नेपाल नीलम चन्द सहभागी थिइन् जमैका हालै मिस ग्लोबल इन्टरनेसनल प्रतियोगिता नेपाली सहभागी टप फाइभ परे की दिन अघि मोन्टागो बे कन्भेन्सन सेन्टर सम्पन्न प्रतियोगिता मिस ग्लोबल नेपाल नीलम चन्द सहभागी थिइन् उन स्थान हासिल गरे की मुलुक बाट सहभागिता रहे प्रतियोगिता शीर्ष ताज बेलायत की अमादा लिलियन जितिन् नेपाल बाट प्रतियोगिता नीलम प्रतिनिधित्व गरे की लफ्ट क्रिएसन गरे मिस ग्लोबल नेपाल शीर्ष ताज पहिरे साता मै सेप्टम्बर उनी जमै की थिइन् प्रतियोगिता क्रम नीलम विश्व गौतम डिजाइन गरे इभिनिङ गाउन सँगै नेपाली नेसनल थिम डाँफे गाउन प्रस्तुत गरे की थिइन् निलम स्थान हासिल मुलुक अन्तर्राष्ट्रिय स्तर चिनाउने काम गरे आयोजक लफ्ट क्रिएसन जनाए नीलम मंगलबार जमैका बाट काठमाडौं फर्के की
1,महिला ट्वान्टीट्वान्टी क्रिकेट काठमाडौं सेमिफाइनलमाक्षेत्र नम्बर काठमाडौं वाईवाई महिला राष्ट्रिय ट्वान्टीट्वान्टी क्रिकेट प्रतियोगिता आइतबार सेमिफाइनल प्रवेश गरे काठमाडौं सँगै क्षेत्र नम्बर नेपालगन्ज क्षेत्र नम्बर बैतडी अन्तिम पुगे क्षेत्र नम्बर काठमाडौं वाईवाई महिला राष्ट्रिय ट्वान्टीट्वान्टी क्रिकेट प्रतियोगिता आइतबार सेमिफाइनल प्रवेश गरे काठमाडौं सँगै क्षेत्र नम्बर नेपालगन्ज क्षेत्र नम्बर बैतडी अन्तिम पुगे काठमाडौं क्षेत्र नम्बर वीरगन्ज रन हरायो काठमाडौं विकेट क्षति सय रन जोड्यो उस वुमन अफ द म्याच संगीता गौचन गीता चुडाल रोजी राई रन बनाए वीरगन्ज ओभर बल रन सीमित भयो नेपालगन्ज क्षेत्र नम्बर विराटनगर रन हरायो नेपालगन्ज ओभर विकेट गुमाएर सय रन बनायो उस वुमन अफ द म्याच रेखा बिसी विकेट लिइन् विराटनगर विकेट गुमाएर रन जोड्यो विजेता टिम गीता गोसाइर्ं ममता थापा रन बनाए बैतडी क्षेत्र नम्बर भैरहवा रन पराजित गर्यो बैतडी निर्धारित ओभर विकेट गुमाएर रन जोडे बैतडी जित वुमन अफ द म्याच रोशनी बोहरा रन योगदान गरिन् जवाफ भैरहवा ओभर रन जोड्दा अलआउट भयो यस्तै क्षेत्र नम्बर जनकपुर क्षेत्र नम्बर पोखरा रन हरायो
4,सिनो हाइड्रो धरौटी प्राधिकरण जफत गर्नेकुलेखानी तेस्राे जलविद्युत् आयोजना सिभिल वर्क ठेक्का लिए चिनियाँ कम्पनी सिनो हाइड्रो एकतर्फी सम्झौता तोडे विद्युत् प्राधिकरण उक्त कम्पनी धरौटी जफत कुलेखानी तेस्राे जलविद्युत् आयोजना सिभिल वर्क ठेक्का लिए चिनियाँ कम्पनी सिनो हाइड्रो एकतर्फी सम्झौता तोडे विद्युत् प्राधिकरण उक्त कम्पनी धरौटी जफत धरौटी जफत नगर्न आदेश गरिपाऊँ भनी सिनो पुनरावेदन अदालत ललितपुर निवेदन दर्ता गराए लगत्तै प्राधिकरण धरौटी जफत निर्णय प्रक्रिया अगाडि बढाए सिभिल वर्क वर्ष निर्माण कार्य कम्पनी सम्झौता तोडेर धरौटी बचाउ अदालत पुगेका बाध्य भएर प्राधिकरण धरौटी जफत निर्णय गरे कुलेखानी तेस्राे आयोजना प्रमुख उत्तम अमात्य बताए धरौटी रोक्का राख्न हिमालयन बैंक शुक्रबार पत्राचार सकेका उन ठेक्का लिँदा सिनो करोड रुपैयाँ हिमालयन बैंक धरौटी यसैगरी प्राधिकरण अगि्रम भुक्तानी करोड रुपैयाँ निर्माण कम्पनी ठेक्का सम्झौता तोड्ने पत्र प्राधिकरण धरौटी रकम बचाउ अदालत निवेदन दिइसकिए सिनो संयोजक प्रवीण राजभण्डारी बताए अवस्था आउनु प्राधिकरण जिम्मेवार उन प्राधिकरण निर्माण कम्पनी सम्झौता गत मंसिर आयोजना सम्पन्न भइसक्नु पर्ने मै निर्माण कार्य सम्पन्न नभए कम्पनी प्राधिकरण वर्ष थप्न माग गरे प्राधिकरण महिना थप गरे सिनो क्ष्ातिपूर्ति रकम उपलब्ध नगराए सँगै ठेक्का लागत नबढाए भन्दै पुस गते ठेक्का तोडे जानकारी गराए सिनो प्रोजेक्ट मेनेजर गो छ्याउचे प्राधिकरण साइट रकम उपलब्ध नगराए ठेक्का लागत वृद्धि नगराएका बाध्य भएर ठेक्का सम्झौता तोड्न पत्राचार गर्नुपरे बताए प्राधिकरण कम्पनी उठाए समस्या समाधान गरे काम तयार उन सिनो आयोजना निर्माण सम्बन्धी सम्झौता एकतर्फी ढंग तोड्ने प्राधिकरण धरौटी जफत तयारी गरे आयोजना काम अन्योल परे प्राधिकरण सिनो धरौटी जफत कम्पनी कालोसूची राख्ने तयारी सिनो माथिल्लो तामाकोसी सिभिल वर्क काम कुलेखानी तेस्राे कारण माथिल्लो तामाकोसी निर्माण समेत अन्योल पर्ने सम्भावना प्राधिकरण वरिष्ठ अधिकृत कालोसूची पर्ने कम्पनी नेपाल आयोजना निर्माण नपाउने बताए निर्माण कम्पनी कार्यरत कामदार कर्मचारी माघ गते अवकाश दिने सूचना जारी गरिसकिए कम्पनी कार्यरत कामदार कर्मचारी महिना क्ष्ातिपूर्ति रकम माग गरे मकवानपुर भैंसे आयोजना टनेल अन्डरग्राउन्ड रिजरभ्याएर सडक निर्माण कार्य ठेक्का लिए सिनो प्राधिकरण ठेक्का तोड्न पत्र सँगै निर्माण कार्य रोके प्राधिकरण सँग सिनो गरे सम्झौता गरे अर्ब करोड सिभिल वर्क ठेक्का लिए सिनो हाल प्रतिशत काम सके करिब करोड रुपैयाँ भुक्तानी लिइ सकेको अन्योल वर्ष अघि ठेक्का सम्झौता चरण ठेक्का इलेक्ट्रो मेकानिकल काम अघि बढ्न सके सम्झौता अवधि महिना बाँकी सिनो विद्युत्गृह सम्बन्धी काम नसकेका इलेक्टि्रकल्स मेकानिकल काम सुरु नसके आयोजना प्रमुख अमात्य दाबी यता सिनो सम्बन्धी नक्सा ठेक्का सकिनु दिन अघि मात्रै उपलब्ध गराएका काम नसके बताउँदै कात्तिक अयोजना शिलान्यास गरिए वाषिर्क सरदर दशमलव गिगा वाट आवर विद्युुत् उत्पादन क्ष्ामता आयोजना कुल मेगा वाट विद्युत् उत्पादन कुलेखानी जलविद्युत् आयोजना लागत अर्ब करोड रुपैयाँ
2,सैफकरिना गरे औपचारिक बिहेलामो लिभिङ टुगेदर सम्बन्ध रहँदै सैफ अली खान करिना कपुर जोडी मंगलबार बिहे औपचारिकता पूरा गरे लामो लिभिङ टुगेदर सम्बन्ध रहँदै सैफ अली खान करिना कपुर जोडी मंगलबार बिहे औपचारिकता पूरा गरे त्यसो साता अघि करिना हरूको बिहे भइ सकेको त्यस औपचारिकता मात्रै बाँकी रहे बताए की थिइन् उनी हरू दुनियाँ पतिपत्नी अनपेक्षित साधारण पहिरन सजिए सैफ करिना मंगलबार बान्द्रा रहे सैफ कै बंगला विवाह कानुनी दर्ता गराए सैफ खैरो कुर्ता पाइजामा लगाए करिना साथी मनीष मल्होत्रा डिजाइन रहे हरियो कुर्ता सलवार रातो दुपट्टा सजाए की थिइन् पटौदी नवाब छोरा सैफ बिहे राजसी ठाँट अनुमान गलत सावित जोडी बिहे गरे बिहे दर्ता पत्र बेहुला तर्फ बाट सैफ की आमा अभिनेत्री शर्मिला टैगोर साक्षी किनारा बसे की थिइन् करिना तर्फ बाट उन की आमा बबिता बाबु रणधीर सन् पत्नी अमृता सिंह सँग डिभोर्स गरे वर्ष डेटिङ रमाए सैफकरिना जोडी बिहे बाटो फुके अमृता बाट जन्मे सन्तान छोरी छोरा इब्राहिम बाबु सँगै रहनेछन् सैफकरिना बिहे हल्लाखल्लाबिनै औपचारिकता थाहा पाए सर्वप्रथम नायक शाहरूख खान बधाई दुवै हितैषी शाहरूख टि्वटर मार्फत् बधाई सुखद विवाह बन्धन मेरा साथीद्वय सैफ करिना बधाई भगवान् हरूको परिवार स्वस्थ सुखी राखून् उन टि्वट गरे शाहरूख सँग सैफ कल ना खेले करिना उन होमप्रोडक्सन रावन डन की थिइन् बलिउड धेरैजसो हस्ती हरूले उनी हरूलाई बधाई दिइ मंगलबार कानुनी बिहे गरे सैफकरिना इस्लाम धर्म निकाह विवाह बुधबार हुनेछ त्यस मात्रै बिहीबार जोडी बिहे भोज दिने
2,एम् रुचिप्रायः सेलिब्रिटी हरू अझ त्यस नायकनायिका हरू कनिष्ठ कलाकार गन्दैनन् लाइटम्यान वा मेकअप आर्टिस्ट मान्छे होइनन् उनी हरूको पेसा सम्मान कुरै भएन प्रायः सेलिब्रिटी हरू अझ त्यस नायकनायिका हरू कनिष्ठ कलाकार गन्दैनन् लाइटम्यान वा मेकअप आर्टिस्ट मान्छे होइनन् उनी हरूको पेसा सम्मान कुरै भएन हलिउड नायिका एम् वाट्सन त्यस्तो लाग्दैन उनी जति सिँगारिन्छिन् त्यति अरू सुन्दर बनाउन रुचाउँछिन् मेकअप गरिदिन एकद मै मन लाग्छ ह्यारी पोर्टर शृंखला की हर्मिवन भनिन् नोकरी अन्तर्वार्ता दिन जाँदा आमा मेकअप गरिदिन्थें साथी हरूको गरिदिएँ वषर्ीया नायिका वास्तविकता नजिक रहेर गरिने मेकअप ज्यादा रुचि रहे खुलाइन् मान्छे हरू आँखीभौं शक्ति अवमूल्यन गर्छन् उन टे्रन्डी मेकअपप्रति असहमति भनिन् मेरै कतिपय साथी हरूलाई हेर्छु उनी हरू आफ्ना आँखीभौं खुर्केर पेन्सिलिङ गर्छन् उनी प्रवृत्ति अचम्म लाग्दो भनी टिप्पणी गर्छिन् सल्लाह दिन्छिन् अरू सुनेर नबदल भन्नु उन तर्क मान्छेपिच्छे हुन्छन् गर भन्लान् अर् कै सल्लाह मान्न थाल्ने उनी प्रश्न तेस्र्याउँछिन्
2,पुनम उत्तेजक फोटो सार्वजनिक गरिन् फोटो फिचरसहितभारतीय मोडल पूनम पाण्डे टि्वटर उत्तेजक तस्बिर सार्वजनिक गरे की चर्चा विभिन्न उपाय खोज्ने मोडल टि्वटर सदाबहार छाउँछिन् पाण्डे अघि बाथरुम नुहाउँदै गरे तस्बिर सार्वजनिक गरे की थिइन् उन हट तस्बिर हेरेर कतिपय पूरै टि्वटर आगो लागे प्रतिक्रिया पोस्ट गरे भारतीय मोडल पूनम पाण्डे टि्वटर उत्तेजक तस्बिर सार्वजनिक गरे की चर्चा विभिन्न उपाय खोज्ने मोडल टि्वटर सदाबहार छाउँछिन् पाण्डे अघि बाथरुम नुहाउँदै गरे तस्बिर सार्वजनिक गरे की थिइन् उन हट तस्बिर हेरेर कतिपय पूरै टि्वटर आगो लागे प्रतिक्रिया पोस्ट गरे वर्षे मोडल फिल्म नशा अभिनय गरे की
2,फिल्मतामाङ फिल्म स्तरीयता रक गुणात्मक बनाउने अभियान तामाङ चलचित्र संघ लघु फिल्म निर्माण घोषणा गरे तामाङ फिल्म स्तरीयता रक गुणात्मक बनाउने अभियान तामाङ चलचित्र संघ लघु फिल्म निर्माण घोषणा गरे संघ आइतबार सोमबार मकवानपुर हेटौंडा गरे तामाङ चलचित्र महोत्सव महोत्सव निर्देशक दीपेन्द्र दोङ तामाङ जानकारी मिनेट मिनेटसम्म फिल्म तामाङ जाति मौलिक संस्कृति राजनीतिक चेतना गौरव विषय हरूलाई उठान बताइए आदिवासी फिल्म आरकाइभ आइफा प्राविधिक सहयोग बन्ने फिल्म निर्माण चैत महिना सम्पन्न मुलुक विभिन्न भेग प्रदर्शन गरिने बताइए यसपटक महोत्सव निर्माण उत्कृष्ट फिल्म प्रदर्शन गरियो जस मध्ये केवा कर्मला ग्यालम उत्कृष्ट फिल्म अवार्ड जिते ह्योरेम स्पेसल मेन्सन अवार्ड हात पार्यो उत्कृष्ट सफल फिल्म मानध्वज लामा स्मृति प्रतिष्ठान तर्फ बाट प्रमाणपत्र सहित हजार सय रुपैयाँ नगद पुरस्कार हात पार्यो समापन अवसर आइफा अध्यक्ष चलचित्रकर्मी नवीन सुब्बा आदिवासी फिल्म हरू भिन्न पहिचान धार स्थापना सक्षम हुनु पर्ने सुझाव
